Name,Fixed or Live,Image time,Drug,Drug [ ],cells,openings
,F,40,DMSO,100uM,4,1
MDCK_0-40h 160915_ctlDMSO_02,F,40,DMSO,100uM,4,1
,F,40,DMSO,100uM,4,2
MDCK_0-40h 160915_ctlDMSO_03,F,40,DMSO,100uM,7,2
MDCK_0-40h 160915_ctlDMSO_04,F,40,DMSO,100uM,,
MDCK_0-40h 160915_ctlDMSO_05,F,40,DMSO,100uM,4,1
,F,40,DMSO,100uM,4,1
MDCK_0-40h 160915_cytoD10uM_01,F,40,CD,10uM,7,1
,F,40,CD,10uM,3,1
,F,40,CD,10uM,3,1
,F,40,CD,10uM,6,2
MDCK_0-40h 160915_cytoD10uM_02,F,40,CD,10uM,3,1
,F,40,CD,10uM,8,3
MDCK_0-40h 160915_cytoD50uM_01,F,40,CD,50uM,12,2
,F,40,CD,50uM,10,1
MDCK_0-40h 160915_cytoD50uM_02,F,40,CD,50uM,4,1
MDCK_0-40h 160915_cytoD50uM_03,F,40,CD,50uM,7,1
MDCK_0-40h 160915_cytoD50uM_04,F,40,CD,50uM,16,2
,F,40,CD,50uM,8,1
MDCK_0-40h 160915_cytoD100uM_01,F,40,CD,100uM,14,1
MDCK_0-40h 160915_cytoD100uM_02,F,40,CD,100uM,6,1
,F,40,CD,100uM,2,1
MDCK_0-40h 160915_cytoD100uM_03,F,40,CD,100uM,9,4
MDCK_0-40h 160915_cytoD100uM_04,F,40,CD,100uM,4,1
,F,40,CD,100uM,4,2
,F,40,CD,100uM,4,2
,F,40,CD,100uM,5,1
MDCK 161017_CD10uM_01,F,31,CD,10uM,4,1
MDCK 161017_CD10uM_02,F,31,CD,10uM,4,1
MDCK 161017_CD10uM_03,F,31,CD,10uM,8,2
MDCK 161017_CD10uM_04,F,31,CD,10uM,3,1
MDCK 161017_CD50uM_01,F,31,CD,50uM,2,0
,F,31,CD,50uM,2,0
,F,31,CD,50uM,4,1
,F,31,CD,50uM,2,0
,F,31,CD,50uM,4,1
MDCK 161017_CD50uM_02,F,31,CD,50uM,,
MDCK 161017_CD100uM_01,F,31,CD,100uM,4,1
MDCK 161017_CD100uM_02,F,31,CD,100uM,4,0
MDCK 161017_CD100uM_03,F,31,CD,100uM,8,1
MDCK 161017_CD100uM_04,F,31,CD,100uM,3,1
,F,31,CD,100uM,4,1
,F,31,CD,100uM,6,2
,F,31,CD,100uM,8,1
MDCK 161017_ctlDMSO_01,F,31,DMSO,100uM,,
MDCK 161017_ctlDMSO_02,F,31,DMSO,100uM,8,1
MDCK 161017_CD10uM_01,F,31,CD,10uM,4,2
MDCK 161017_CD10uM_02,F,31,CD,10uM,7,2
MDCK 161017_CD10uM_03,F,31,CD,10uM,6,1
MDCK 161017_CD50uM_01,F,31,CD,50uM,4,1
MDCK 161017_CD50uM_02,F,31,CD,50uM,6,2
MDCK 161017_CD50uM_03,F,31,CD,50uM,4,2
MDCK 161017_CD50uM_04,F,31,CD,50uM,4,2
MDCK 161017_CD100uM_01,F,31,CD,100uM,7,2
MDCK 161017_CD100uM_02,F,31,CD,100uM,2,1
MDCK 161017_CD100uM_03,F,31,CD,100uM,5,1
MDCK 161017_CD100uM_04,F,31,CD,100uM,4,1
MDCK 161017_CD100uM_05,F,31,CD,100uM,4,1
MDCK 161017_DMSO_01,F,31,DMSO,100uM,10,1
MDCK 161017_DMSO_02,F,31,DMSO,100uM,8,2
MDCK 161017_DMSO_03,F,31,DMSO,100uM,4,1
,F,31,DMSO,100uM,6,1
MDCK 161017_DMSO_04,F,31,DMSO,100uM,6,2
MDCK 161017_DMSO_05,F,31,DMSO,100uM,4,2
,F,31,DMSO,100uM,4,2
MDCK 161017_DMSO_06,F,31,DMSO,100uM,4,1
,F,31,DMSO,100uM,4,1
MDCK 161215_24h_CD100uM_01,F,24,CD,100uM,,
MDCK 161215_24h_CD100uM_02,F,24,CD,100uM,,
MDCK 161215_24h_CD100uM_03,F,24,CD,100uM,6,1
MDCK 161215_24h_CD100uM_04,F,24,CD,100uM,2,1
MDCK 161215_24h_CD100uM_05,F,24,CD,100uM,,
MDCK 161215_24h_CD100uM_06,F,24,CD,100uM,,
MDCK 161215_24h_DMSO_01,F,24,DMSO,100uM,,
MDCK 161215_24h_DMSO_02,F,24,DMSO,100uM,8,1
,F,24,DMSO,100uM,2,0
MDCK 161215_24h_DMSO_03,F,24,DMSO,100uM,6,1
MDCK 161215_24h_DMSO_04,F,24,DMSO,100uM,3,1
,F,24,DMSO,100uM,4,0
